Estado Civil;Horário Aula Dia/Noite;Escolaridade Materna;Escolaridade Paterna;Profissão Materna;Profissão Paterna;Necessidades Educacionais Especiais;Devedor de mensalidade;Mensalidade em Dia;Sexo;Bolsista;Idade na Inscrição;Disciplinas Aprovadas no Semestre;Taxa de Desemprego;Taxa de inflação;Resultado
1;1;19;12;5;9;0;0;1;1;0;20;0;10.8;1.4;Evasão
1;1;1;3;3;3;0;0;0;1;0;19;6;13.9;-0.3;Formado
1;1;37;37;9;9;0;0;0;1;0;19;0;10.8;1.4;Evasão
1;1;38;37;5;3;0;0;1;0;0;20;6;9.4;-0.8;Formado
2;0;37;38;9;9;0;0;1;0;0;45;5;13.9;-0.3;Formado
2;0;37;37;9;7;0;1;1;1;0;50;5;16.2;0.3;Formado
1;1;19;38;7;10;0;0;1;0;1;18;7;15.5;2.8;Formado
1;1;37;37;9;9;0;0;0;1;0;22;0;15.5;2.8;Evasão
1;1;1;1;9;9;0;0;1;0;1;21;6;16.2;0.3;Formado
1;1;1;19;4;7;0;1;0;0;0;18;5;8.9;1.4;Evasão
1;1;38;19;5;7;0;0;1;0;0;18;6;13.9;-0.3;Formado
1;1;19;38;9;9;0;0;1;0;1;18;7;12.7;3.7;Formado
1;1;19;37;4;9;0;0;1;0;0;19;0;12.7;3.7;Evasão
1;1;1;1;4;7;0;0;1;0;1;21;6;8.9;1.4;Formado
1;1;38;37;5;5;0;0;1;0;1;18;4;10.8;1.4;Formado
1;1;19;37;9;3;0;0;1;0;0;20;5;15.5;2.8;Evasão
1;1;19;38;5;8;0;0;1;0;0;18;1;10.8;1.4;Inscrito
1;1;19;1;5;4;0;0;1;0;0;18;7;15.5;2.8;Formado
1;1;3;19;3;5;0;0;1;0;0;20;4;10.8;1.4;Formado
1;1;19;19;7;7;0;0;1;0;0;18;6;16.2;0.3;Inscrito
1;1;1;1;9;8;0;0;1;0;1;21;0;11.1;0.6;Formado
1;1;1;38;4;7;0;0;1;0;0;20;7;12.7;3.7;Inscrito
1;1;19;19;1;1;0;0;1;0;0;18;7;12.7;3.7;Formado
1;1;1;38;4;7;0;0;1;0;1;19;6;11.1;0.6;Formado
1;1;19;19;3;7;0;0;1;0;0;19;6;11.1;0.6;Formado
1;1;19;38;9;9;0;1;1;0;1;18;5;7.6;2.6;Inscrito
1;1;19;38;7;8;0;0;1;0;0;21;6;16.2;0.3;Formado
1;1;19;19;3;3;0;0;1;0;0;18;5;9.4;-0.8;Inscrito
1;1;19;1;9;9;0;0;1;0;0;20;5;16.2;0.3;Formado
1;1;3;3;1;10;0;0;1;1;0;19;6;16.2;0.3;Inscrito
1;1;4;5;4;2;0;0;1;1;0;21;5;16.2;0.3;Inscrito
1;1;42;3;125;124;0;0;1;1;0;20;6;8.9;1.4;Formado
1;1;1;1;4;6;0;0;0;1;0;18;3;8.9;1.4;Inscrito
1;0;19;1;9;5;0;0;1;0;0;19;6;12.4;0.5;Formado
1;0;2;37;3;9;0;0;1;1;0;34;5;13.9;-0.3;Formado
1;1;38;37;9;6;0;1;0;1;0;37;0;8.9;1.4;Evasão
1;1;34;37;0;0;0;0;1;1;0;43;0;7.6;2.6;Evasão
1;1;37;37;6;6;0;0;1;0;0;55;1;16.2;0.3;Evasão
4;0;19;19;9;3;0;0;1;0;0;39;5;7.6;2.6;Formado
1;1;4;4;3;6;0;1;0;0;0;20;3;12.4;0.5;Evasão
1;1;3;3;2;2;0;1;1;0;0;18;4;12.7;3.7;Evasão
1;1;3;19;2;7;0;0;1;0;0;22;5;8.9;1.4;Formado
1;1;1;3;2;2;1;0;1;0;0;22;5;11.1;0.6;Formado
1;1;1;38;5;5;0;0;0;0;0;20;4;12.4;0.5;Evasão
1;0;37;37;9;9;0;0;1;0;0;29;0;16.2;0.3;Evasão
1;0;38;38;4;5;0;0;1;0;0;24;2;7.6;2.6;Inscrito
1;1;19;19;9;9;0;0;1;0;0;18;6;11.1;0.6;Formado
1;1;37;19;7;7;0;0;1;0;1;22;6;11.1;0.6;Formado
1;0;1;19;9;9;0;0;1;0;1;21;6;12.4;0.5;Formado
1;1;37;38;9;9;0;0;1;0;1;19;5;12.7;3.7;Formado
1;1;19;38;9;7;0;0;1;0;1;24;6;12.4;0.5;Formado
1;1;37;38;6;6;0;0;1;0;1;19;6;9.4;-0.8;Inscrito
1;1;1;19;7;7;0;0;1;0;1;20;4;9.4;-0.8;Inscrito
1;1;37;37;90;90;0;0;1;0;0;19;5;7.6;2.6;Formado
1;0;38;38;9;9;0;0;1;0;0;27;5;9.4;-0.8;Evasão
1;1;1;19;5;5;0;0;1;0;0;18;7;15.5;2.8;Formado
2;1;1;3;4;3;0;0;1;0;0;39;0;12.4;0.5;Evasão
1;1;3;3;2;2;0;0;1;0;0;27;5;12.4;0.5;Evasão
1;1;38;38;7;10;0;0;1;0;0;18;8;9.4;-0.8;Formado
1;1;38;37;4;9;0;0;1;0;0;18;0;7.6;2.6;Inscrito
1;1;19;19;9;9;0;0;1;0;0;18;6;16.2;0.3;Formado
1;1;19;1;9;9;0;0;1;0;1;21;6;13.9;-0.3;Formado
1;1;1;37;4;7;0;0;1;1;1;19;0;10.8;1.4;Inscrito
1;1;1;1;3;4;0;0;1;1;0;19;5;10.8;1.4;Inscrito
1;1;1;1;3;3;0;0;1;1;0;24;0;12.7;3.7;Inscrito
4;1;1;1;5;5;0;0;1;1;0;29;5;13.9;-0.3;Evasão
1;1;19;19;5;3;0;0;1;1;1;19;0;10.8;1.4;Formado
1;1;19;37;9;9;0;0;1;1;0;23;6;8.9;1.4;Formado
1;1;1;38;7;7;0;1;1;1;0;19;5;16.2;0.3;Evasão
1;1;19;37;7;10;0;0;1;1;0;26;6;12.7;3.7;Inscrito
1;1;38;37;5;5;0;0;1;1;0;18;0;7.6;2.6;Inscrito
1;1;37;19;8;4;0;0;1;1;0;24;7;13.9;-0.3;Formado
1;1;19;19;5;10;0;0;1;1;0;19;0;15.5;2.8;Evasão
1;1;38;37;5;7;0;0;1;1;0;18;3;12.4;0.5;Evasão
1;1;38;38;9;9;0;0;1;1;0;18;6;10.8;1.4;Formado
1;1;19;19;4;7;0;1;1;1;0;18;3;10.8;1.4;Evasão
1;1;19;37;7;7;0;0;1;1;1;21;4;9.4;-0.8;Evasão
1;1;1;19;9;8;0;1;1;1;1;19;6;8.9;1.4;Formado
1;1;38;37;9;9;0;0;1;1;1;22;7;16.2;0.3;Formado
2;0;37;37;9;6;0;0;1;1;0;33;6;10.8;1.4;Formado
1;1;19;19;9;9;0;0;1;1;0;20;5;10.8;1.4;Evasão
1;0;3;3;2;2;0;0;1;1;0;35;0;10.8;1.4;Evasão
1;1;3;3;4;2;0;1;1;1;0;24;6;12.4;0.5;Evasão
1;1;19;19;4;4;0;0;1;1;0;18;5;12.7;3.7;Inscrito
2;0;37;37;9;6;0;0;1;0;0;33;6;9.4;-0.8;Formado
1;1;37;38;9;7;0;0;1;0;1;22;7;10.8;1.4;Formado
1;1;1;19;4;5;0;0;1;0;1;25;4;9.4;-0.8;Formado
1;1;19;38;4;0;0;0;1;1;0;20;6;7.6;2.6;Formado
1;1;38;37;9;9;0;0;1;1;0;23;4;11.1;0.6;Inscrito
1;1;38;19;9;6;0;1;1;1;0;18;2;15.5;2.8;Inscrito
1;1;1;1;4;10;0;0;1;1;0;24;0;13.9;-0.3;Evasão
1;1;19;1;9;9;0;0;0;0;0;21;6;8.9;1.4;Formado
1;1;1;1;4;4;0;0;1;0;0;26;2;8.9;1.4;Evasão
2;1;37;34;0;0;0;0;1;0;0;39;3;7.6;2.6;Evasão
2;0;37;19;9;9;0;0;1;0;0;44;8;12.7;3.7;Formado
1;1;38;3;9;2;0;0;1;1;0;19;5;13.9;-0.3;Inscrito
1;1;37;1;5;5;0;0;1;0;0;18;6;8.9;1.4;Formado
1;1;37;37;7;7;0;0;1;0;1;18;7;12.4;0.5;Formado
1;1;1;2;9;1;0;0;1;0;0;19;5;12.7;3.7;Inscrito
1;1;3;3;2;2;0;1;0;0;0;19;4;13.9;-0.3;Evasão
1;1;38;38;9;9;0;0;1;0;0;21;8;8.9;1.4;Evasão
1;1;1;1;9;10;0;0;1;0;0;20;0;16.2;0.3;Formado
2;0;37;37;6;5;0;0;1;0;0;36;0;9.4;-0.8;Evasão
4;1;37;37;9;6;0;0;1;0;0;43;18;15.5;2.8;Formado
1;1;19;19;9;7;0;0;1;0;0;19;0;11.1;0.6;Evasão
1;1;3;1;2;8;0;1;1;0;0;20;10;11.1;0.6;Formado
1;1;37;38;4;7;0;0;1;0;0;19;0;16.2;0.3;Evasão
1;1;1;1;4;4;0;0;1;0;0;20;4;15.5;2.8;Evasão
1;1;3;4;4;3;0;0;1;0;0;20;6;12.4;0.5;Evasão
1;1;19;1;9;3;0;0;1;0;0;20;6;16.2;0.3;Inscrito
